,AIRPORT,Month,Dom_Pax_In,Dom_Pax_Out,Dom_Pax_Total,Int_Pax_In,Int_Pax_Out,Int_Pax_Total,Pax_In,Pax_Out,Pax_Total,latitude,longitude,State
223,SYDNEY,August,1043441,1026873,2070314,641894,658433,1300327,1685335,1685306,3370641,-33.95,151.18,New South Wales
224,SYDNEY,September,1041837,1049191,2091028,668361,694792,1363153,1710198,1743983,3454181,-33.95,151.18,New South Wales
225,SYDNEY,October,1161905,1144870,2306775,753747,655141,1408888,1915652,1800011,3715663,-33.95,151.18,New South Wales
226,SYDNEY,November,1092224,1084473,2176697,668969,699082,1368051,1761193,1783555,3544748,-33.95,151.18,New South Wales
227,SYDNEY,December,1076107,1083747,2159854,720211,879579,1599790,1796318,1963326,3759644,-33.95,151.18,New South Wales
228,SYDNEY,January,1015444,1015279,2030723,853678,701745,1555423,1869122,1717024,3586146,-33.95,151.18,New South Wales
229,TOWNSVILLE,February,59792,60575,120367,0,0,0,59792,60575,120367,-19.25,146.77,Queensland
230,TOWNSVILLE,March,68045,67585,135630,0,0,0,68045,67585,135630,-19.25,146.77,Queensland
231,TOWNSVILLE,April,69222,67664,136886,0,0,0,69222,67664,136886,-19.25,146.77,Queensland
232,TOWNSVILLE,May,68461,67488,135949,0,0,0,68461,67488,135949,-19.25,146.77,Queensland
233,TOWNSVILLE,June,69554,69469,139023,0,0,0,69554,69469,139023,-19.25,146.77,Queensland
234,TOWNSVILLE,July,79717,78193,157910,0,0,0,79717,78193,157910,-19.25,146.77,Queensland
235,TOWNSVILLE,August,75227,76604,151831,0,0,0,75227,76604,151831,-19.25,146.77,Queensland
236,TOWNSVILLE,September,73559,74515,148074,0,0,0,73559,74515,148074,-19.25,146.77,Queensland
237,TOWNSVILLE,October,73639,75355,148994,0,0,0,73639,75355,148994,-19.25,146.77,Queensland
238,TOWNSVILLE,November,68409,69864,138273,0,0,0,68409,69864,138273,-19.25,146.77,Queensland
239,TOWNSVILLE,December,65348,69895,135243,0,0,0,65348,69895,135243,-19.25,146.77,Queensland
